SoilLat,SoilLon,SolarLat,SolarLon,Year,SoilRegionKey,SolarRegionKey
44.682,-71.72,44.69,-71.74,2017,44.682:-71.720,44.690:-71.740
44.825,-72.888,44.81,-72.9,2017,44.825:-72.888,44.810:-72.900
44.789,-73.291,44.77,-73.3,2017,44.789:-73.291,44.770:-73.300
44.6,-72.648,44.61,-72.66,2017,44.600:-72.648,44.610:-72.660
43.996,-72.411,44.01,-72.42,2017,43.996:-72.411,44.010:-72.420
44.776,-72.228,44.77,-72.22,2017,44.776:-72.228,44.770:-72.220
43.574,-73.066,43.57,-73.06,2017,43.574:-73.066,43.570:-73.060
44.259,-72.585,44.25,-72.58,2017,44.259:-72.585,44.250:-72.580
42.995,-72.72,43.01,-72.74,2017,42.995:-72.720,43.010:-72.740
43.592,-72.593,43.61,-72.58,2017,43.592:-72.593,43.610:-72.580
46.999,-118.664,47.01,-118.66,2017,46.999:-118.664,47.010:-118.660
45.802,-122.52,45.81,-122.5,2017,45.802:-122.520,45.810:-122.500
46.119,-122.729,46.13,-122.74,2017,46.119:-122.729,46.130:-122.740
47.686,-119.635,47.69,-119.62,2017,47.686:-119.635,47.690:-119.620
46.466,-118.828,46.45,-118.82,2017,46.466:-118.828,46.450:-118.820
47.294,-119.508,47.29,-119.5,2017,47.294:-119.508,47.290:-119.500
48.158,-122.598,48.17,-122.58,2017,48.158:-122.598,48.170:-122.580
47.609,-118.4,47.61,-118.42,2017,47.609:-118.400,47.610:-118.420
48.602,-122.99,48.61,-122.98,2017,48.602:-122.990,48.610:-122.980
47.654,-117.432,47.65,-117.42,2017,47.654:-117.432,47.650:-117.420
48.396,-117.916,48.41,-117.9,2017,48.396:-117.916,48.410:-117.900
46.839,-117.644,46.85,-117.66,2017,46.839:-117.644,46.850:-117.660
46.229,-117.229,46.21,-117.22,2017,46.229:-117.229,46.210:-117.220
46.222,-119.409,46.21,-119.42,2017,46.222:-119.409,46.210:-119.420
47.59,-120.341,47.61,-120.34,2017,47.590:-120.341,47.610:-120.340
47.848,-120.554,47.85,-120.54,2017,47.848:-120.554,47.850:-120.540
48.118,-123.802,48.13,-123.82,2017,48.118:-123.802,48.130:-123.820
46.344,-117.927,46.33,-117.94,2017,46.344:-117.927,46.330:-117.940
48.741,-118.487,48.73,-118.5,2017,48.741:-118.487,48.730:-118.500
46.484,-117.546,46.49,-117.54,2017,46.484:-117.546,46.490:-117.540
46.744,-123.69,46.73,-123.7,2017,46.744:-123.690,46.730:-123.700
47.839,-123.611,47.85,-123.62,2017,47.839:-123.611,47.850:-123.620
47.732,-123.618,47.73,-123.62,2017,47.732:-123.618,47.730:-123.620
47.466,-122.206,47.45,-122.22,2017,47.466:-122.206,47.450:-122.220
47.26,-121.651,47.25,-121.66,2017,47.260:-121.651,47.250:-121.660
47.672,-122.747,47.69,-122.74,2017,47.672:-122.747,47.690:-122.740
47.168,-120.715,47.17,-120.7,2017,47.168:-120.715,47.170:-120.700
45.825,-120.739,45.81,-120.74,2017,45.825:-120.739,45.810:-120.740
46.589,-122.493,46.57,-122.5,2017,46.589:-122.493,46.570:-122.500
47.345,-123.153,47.33,-123.14,2017,47.345:-123.153,47.330:-123.140
48.156,-118.94,48.17,-118.94,2017,48.156:-118.940,48.170:-118.940
48.48,-119.634,48.49,-119.62,2017,48.480:-119.634,48.490:-119.620
48.523,-117.331,48.53,-117.34,2017,48.523:-117.331,48.530:-117.340
47.084,-122.417,47.09,-122.42,2017,47.084:-122.417,47.090:-122.420
48.471,-122.024,48.49,-122.02,2017,48.471:-122.024,48.490:-122.020
45.968,-121.882,45.97,-121.9,2017,45.968:-121.882,45.970:-121.900
48.037,-121.94,48.05,-121.94,2017,48.037:-121.940,48.050:-121.940
46.974,-122.703,46.97,-122.7,2017,46.974:-122.703,46.970:-122.700
46.303,-118.517,46.29,-118.5,2017,46.303:-118.517,46.290:-118.500
48.817,-122.493,48.81,-122.5,2017,48.817:-122.493,48.810:-122.500
46.214,-120.774,46.21,-120.78,2017,46.214:-120.774,46.210:-120.780
46.476,-120.6,46.49,-120.58,2017,46.476:-120.600,46.490:-120.580
46.366,-120.43,46.37,-120.42,2017,46.366:-120.430,46.370:-120.420
46.801,-121.21,46.81,-121.22,2017,46.801:-121.210,46.810:-121.220
46.752,-120.19,46.77,-120.18,2017,46.752:-120.190,46.770:-120.180
46.529,-119.567,46.53,-119.58,2017,46.529:-119.567,46.530:-119.580
48.28,-124.647,48.29,-124.66,2017,48.280:-124.647,48.290:-124.660
46.147,-117.652,46.13,-117.66,2017,46.147:-117.652,46.130:-117.660
47.404,-124.097,47.41,-124.1,2017,47.404:-124.097,47.410:-124.100
47.872,-123.927,47.89,-123.94,2017,47.872:-123.927,47.890:-123.940
48.504,-119.928,48.49,-119.94,2017,48.504:-119.928,48.490:-119.940
46.854,-121.682,46.85,-121.7,2017,46.854:-121.682,46.850:-121.700
46.246,-121.801,46.25,-121.82,2017,46.246:-121.801,46.250:-121.820
48.216,-121.462,48.21,-121.46,2017,48.216:-121.462,48.210:-121.460
48.623,-121.092,48.61,-121.1,2017,48.623:-121.092,48.610:-121.100
47.604,-122.332,47.61,-122.34,2017,47.604:-122.332,47.610:-122.340
47.245,-122.46,47.25,-122.46,2017,47.245:-122.460,47.250:-122.460
47.031,-122.586,47.05,-122.58,2017,47.031:-122.586,47.050:-122.580
47.724,-122.719,47.73,-122.7,2017,47.724:-122.719,47.730:-122.700
43.945,-89.813,43.93,-89.82,2017,43.945:-89.813,43.930:-89.820
46.531,-90.614,46.53,-90.62,2017,46.531:-90.614,46.530:-90.620
45.423,-91.848,45.41,-91.86,2017,45.423:-91.848,45.410:-91.860
46.579,-91.152,46.57,-91.14,2017,46.579:-91.152,46.570:-91.140
44.46,-87.995,44.45,-87.98,2017,44.460:-87.995,44.450:-87.980
44.311,-91.807,44.33,-91.82,2017,44.311:-91.807,44.330:-91.820
45.899,-92.459,45.89,-92.46,2017,45.899:-92.459,45.890:-92.460
45.074,-91.294,45.09,-91.3,2017,45.074:-91.294,45.090:-91.300
44.728,-90.619,44.73,-90.62,2017,44.728:-90.619,44.730:-90.620
43.462,-89.395,43.45,-89.38,2017,43.462:-89.395,43.450:-89.380
43.206,-90.941,43.21,-90.94,2017,43.206:-90.941,43.210:-90.940
43.07,-89.424,43.09,-89.42,2017,43.070:-89.424,43.090:-89.420
43.414,-88.705,43.41,-88.7,2017,43.414:-88.705,43.410:-88.700
45.052,-87.271,45.05,-87.26,2017,45.052:-87.271,45.050:-87.260
46.457,-91.922,46.45,-91.94,2017,46.457:-91.922,46.450:-91.940
44.947,-91.903,44.93,-91.9,2017,44.947:-91.903,44.930:-91.900
44.727,-91.286,44.73,-91.3,2017,44.727:-91.286,44.730:-91.300
45.867,-88.371,45.85,-88.38,2017,45.867:-88.371,45.850:-88.380
43.74,-88.523,43.73,-88.54,2017,43.740:-88.523,43.730:-88.540
45.725,-88.737,45.73,-88.74,2017,45.725:-88.737,45.730:-88.740
42.859,-90.791,42.85,-90.78,2017,42.859:-90.791,42.850:-90.780
42.679,-89.602,42.69,-89.62,2017,42.679:-89.602,42.690:-89.620
43.808,-89.065,43.81,-89.06,2017,43.808:-89.065,43.810:-89.060
43.011,-90.134,43.01,-90.14,2017,43.011:-90.134,43.010:-90.140
46.286,-90.24,46.29,-90.22,2017,46.286:-90.240,46.290:-90.220
44.334,-90.739,44.33,-90.74,2017,44.334:-90.739,44.330:-90.740
43.02,-88.775,43.01,-88.78,2017,43.020:-88.775,43.010:-88.780
43.945,-90.049,43.93,-90.06,2017,43.945:-90.049,43.930:-90.060
44.502,-87.571,44.49,-87.58,2017,44.502:-87.571,44.490:-87.580
43.908,-91.168,43.89,-91.18,2017,43.908:-91.168,43.890:-91.180
42.66,-90.132,42.65,-90.14,2017,42.660:-90.132,42.650:-90.140
45.249,-89.032,45.25,-89.02,2017,45.249:-89.032,45.250:-89.020
45.337,-89.736,45.33,-89.74,2017,45.337:-89.736,45.330:-89.740
44.901,-89.77,44.89,-89.78,2017,44.901:-89.770,44.890:-89.780
45.381,-87.959,45.37,-87.94,2017,45.381:-87.959,45.370:-87.940
43.813,-89.384,43.81,-89.38,2017,43.813:-89.384,43.810:-89.380
44.987,-88.733,44.97,-88.74,2017,44.987:-88.733,44.970:-88.740
43.943,-90.645,43.93,-90.66,2017,43.943:-90.645,43.930:-90.660
45.025,-88.22,45.01,-88.22,2017,45.025:-88.220,45.010:-88.220
45.683,-89.546,45.69,-89.54,2017,45.683:-89.546,45.690:-89.540
44.416,-88.465,44.41,-88.46,2017,44.416:-88.465,44.410:-88.460
43.368,-87.927,43.37,-87.94,2017,43.368:-87.927,43.370:-87.940
44.546,-91.983,44.53,-91.98,2017,44.546:-91.983,44.530:-91.980
44.701,-92.472,44.69,-92.46,2017,44.701:-92.472,44.690:-92.460
45.469,-92.522,45.45,-92.54,2017,45.469:-92.522,45.450:-92.540
44.465,-89.534,44.45,-89.54,2017,44.465:-89.534,44.450:-89.540
45.68,-90.361,45.69,-90.38,2017,45.680:-90.361,45.690:-90.380
43.36,-90.432,43.37,-90.42,2017,43.360:-90.432,43.370:-90.420
42.67,-89.073,42.69,-89.06,2017,42.670:-89.073,42.690:-89.060
45.465,-91.11,45.45,-91.1,2017,45.465:-91.110,45.450:-91.100
45.034,-92.469,45.05,-92.46,2017,45.034:-92.469,45.050:-92.460
43.394,-89.956,43.41,-89.94,2017,43.394:-89.956,43.410:-89.940
45.898,-91.114,45.89,-91.1,2017,45.898:-91.114,45.890:-91.100
44.807,-88.734,44.81,-88.74,2017,44.807:-88.734,44.810:-88.740
43.717,-87.929,43.73,-87.94,2017,43.717:-87.929,43.730:-87.940
45.207,-90.484,45.21,-90.5,2017,45.207:-90.484,45.210:-90.500
44.291,-91.382,44.29,-91.38,2017,44.291:-91.382,44.290:-91.380
