lkey,areasymbol,areaname,mlraoffice,areaacres,longitude,latitude,ph1to1h2o,cec7,awc,om,claytotal,silttotal,sandtotal,slope,tfact,elev,cos_sim,cos_sim_normed
14083,CA055,"Napa County, California","Davis, CA",506016,-122.35427859999999,-41.95346069,6.361703866,18.29888324,0.111453502,2.049624917,27.52080061,40.59606346,31.84420835,35.31339609,2.668490597,421.3862827,0.9999999999999999,1.0
14189,OR033,"Josephine County, Oregon","Davis, CA",1048015,-123.6353683,-40.616901399999996,6.137491684,15.32359732,0.10877862199999999,2.769405261,27.52097601,33.81914635,38.68852489,49.01560802,2.708805173,807.7612012999999,0.9971443250225449,0.9375446576584894
14201,CA692,Santa Monica Mountains National Recreation Area,"Davis, CA",188841,-118.7113571,-42.15924835,6.8383269570000005,19.29462309,0.11431817,1.926705181,18.29496255,36.43786344,40.74282729,40.57482764,2.402294386,381.8694646,0.9991203143888172,0.9374173224894544
14081,CA041,"Marin County, California","Davis, CA",391500,-122.68847659999999,-42.26856613,6.100137359,18.19589689,0.13201851,1.661151495,28.05585766,34.92423952,37.01990283,34.87752784,3.0611882360000005,186.8629265,0.9809348408892453,0.9357680590571987
14080,CA033,"Lake County, California","Davis, CA",857072,-122.7169952,-41.83596802,6.226232225,15.69344336,0.124723454,1.2842598109999999,25.70523636,32.522046,41.77271774,36.02935385,2.3983180230000003,764.4912213,0.9969671260803213,0.927104454065929
14101,CA624,"El Dorado Area, California","Davis, CA",539898,-120.8066406,-40.98105621,5.977215649,19.05464609,0.11204429800000001,1.444888835,22.25046488,39.55691401,38.11259199,28.34402332,2.7915101360000003,778.0455359,0.9967123425006708,0.9265654406476255
14131,CA673,"Santa Barbara County, California, South Coastal Part","Davis, CA",218536,-120.0454788,-42.53373718,6.358692025,23.59246957,0.131383489,1.453374067,24.98618121,31.21492561,43.79889369,47.28518623,2.281734464,449.14916730000004,0.9991055304517943,0.9264093228672731
14876,TN608,"Sevier County Area, Tennessee","Morgantown, WV",255100,-83.52807617,-23.78816032,5.412259926,16.70976197,0.120459057,0.6108123529999999,28.12612301,40.46645027,31.29222092,30.15655462,2.7995853530000003,577.7812355000001,0.9987103548640094,0.9250857577415624
10466,WA603,"Asotin County Area, Washington (Asotin and Garfield Counties)","Portland, OR",340175,-117.22912600000001,-35.46034241,7.346207045,24.70774132,0.12632103,1.6889903519999998,27.07888575,43.47533997,29.44577424,38.07717265,2.190878636,792.6990232999999,0.9972715251200329,0.9177876391323455
14122,CA664,"San Luis Obispo County, California, Coastal Part","Davis, CA",562150,-120.7602386,-42.63486481,6.695407307000001,19.04098271,0.12687812099999998,2.222356295,28.1721788,28.77254212,43.05097159,32.54140136,2.657236449,373.0874147,0.9989697860378091,0.9167829005887765
14142,CA687,"Mendocino County, Eastern Part and Southwestern Part of Trinity County, California","Davis, CA",1103912,-123.2225876,-42.00505829,6.247740231,17.00011665,0.118649226,1.3059745090000001,24.24545121,32.32767721,41.68234109,41.02893125,3.1329082319999997,656.0695326,0.9980878889875553,0.9130084560651995
20767,CA709,"Mendocino National Forest Area, California","Davis, CA",316748,-123.00363159999999,-41.69864655,5.471582538,15.04203264,0.095334245,1.6417843090000002,23.33341367,36.45639752,40.18535193,45.8354153,1.989988585,1171.787415,0.9946126974469188,0.9082144081207177
14153,CA701,"Six Rivers National Forest Area, California","Davis, CA",1135449,-123.60569,-41.55484772,5.839351664,19.48097892,0.112319584,1.254826421,25.0390307,36.17798029,38.45903006,49.75366724,3.102356767,844.6913364,0.9970235534290872,0.9041581586399382
14089,CA097,"Sonoma County, California","Davis, CA",1033005,-122.94113159999999,-42.14026642,6.017657617,19.9103816,0.108767211,1.329995532,29.14295509,29.94916009,40.90788472,34.25957776,3.3217957410000003,481.5338198,0.9992967687823157,0.9010247213784721
14111,CA646,"Eastern Santa Clara Area, California","Davis, CA",539080,-121.536911,-42.157546999999994,6.39019622,18.74663298,0.150881241,1.103518835,25.81936662,35.275992200000005,38.90360148,39.31981532,2.166472567,559.4039474,0.99912575810429,0.8994547920966559
10369,OR015,"Curry County, Oregon","Portland, OR",1054528,-124.1415482,-40.86045837,5.360828786,17.49006559,0.126646598,4.693827392,26.42869189,37.92328653,35.71536254,43.53492611,3.0236335260000002,538.4514958999999,0.9994282481697835,0.8970029270168952
14096,CA609,"Alameda Area, California","Davis, CA",325000,-121.8239899,-42.0041275,6.96150781,21.95145744,0.138472667,0.9970943059999999,29.99301258,33.26256906,28.1394104,30.87767189,2.819880715,416.26419980000003,0.9997253552637481,0.8914022091628715
14102,CA628,"Amador Area, California","Davis, CA",298992,-120.6974335,-41.07616425,5.887295971,13.66806789,0.120934344,1.673875359,20.5721684,37.81676657,39.72786825,27.49845357,2.519687871,569.740955,0.9983342459642872,0.88955289445173
14095,CA607,"Shasta County Area, California","Davis, CA",1025000,-122.2834396,-40.65975571,5.856927379,18.66683695,0.104918506,1.4176285,25.60568243,32.32316809,41.98639452,26.97038136,3.0773826339999997,737.9213473,0.9967726838761908,0.8854569474895021
14143,CA688,"Channel Islands Area, California, Parts of Santa Barbara and Los Angeles Counties","Davis, CA",229120,-119.37804409999998,-42.75191498,7.154665667000001,21.36450616,0.100457014,1.733291752,23.20912311,22.87696416,29.84239199,37.62994878,2.701582365,239.91160580000002,0.9949073610908014,0.8841290450654398
14082,CA053,"Monterey County, California","Davis, CA",2127521,-121.0963821,-42.21166229,6.86536231,22.14186564,0.130169123,2.313200347,22.82696233,31.24387448,45.63913623,38.08442069,2.948066775,516.2124861000001,0.9990323203160314,0.8829133096228103
