SoilLat,SoilLon,SolarLat,SolarLon,Year,SoilRegionKey,SolarRegionKey,lkey
40.52,-84.16799999999999,40.53,-84.18,2017,40.520:-84.168,-84.168:40.530,11522
40.010999999999996,-80.97,40.01,-80.98,2017,40.011:-80.970,-80.970:40.010,14603
38.946999999999996,-83.863,38.93,-83.86,2017,38.947:-83.863,-83.863:38.930,11523
39.441,-84.57600000000001,39.45,-84.58,2017,39.441:-84.576,-84.576:39.450,11524
40.577,-81.09100000000001,40.57,-81.1,2017,40.577:-81.091,-81.091:40.570,14604
40.141999999999996,-83.765,40.13,-83.78,2017,40.142:-83.765,-83.765:40.130,11525
39.904,-83.78299999999999,39.89,-83.78,2017,39.904:-83.783,-83.783:39.890,11527
39.021,-84.15700000000001,39.01,-84.14,2017,39.021:-84.157,-84.157:39.010,11528
39.396,-83.792,39.41,-83.78,2017,39.396:-83.792,-83.792:39.410,11530
40.756,-80.803,40.77,-80.82,2017,40.756:-80.803,-80.803:40.770,12359
40.304,-81.906,40.29,-81.9,2017,40.304:-81.906,-81.906:40.290,14605
40.85,-82.919,40.85,-82.9,2017,40.850:-82.919,-82.919:40.850,11531
41.453,-81.673,41.45,-81.66,2017,41.453:-81.673,-81.673:41.450,12360
40.135,-84.619,40.13,-84.62,2017,40.135:-84.619,-84.619:40.130,11532
41.297,-84.516,41.29,-84.5,2017,41.297:-84.516,-84.516:41.290,11533
40.285,-82.99700000000001,40.29,-82.98,2017,40.285:-82.997,-82.997:40.290,11535
41.45399999999999,-82.62200000000001,41.45,-82.62,2017,41.454:-82.622,-82.622:41.450,11536
39.748000000000005,-82.605,39.73,-82.62,2017,39.748:-82.605,-82.605:39.730,11537
39.547,-83.461,39.53,-83.46,2017,39.547:-83.461,-83.461:39.530,11539
39.969,-83.01100000000001,39.97,-83.02,2017,39.969:-83.011,-83.011:39.970,11540
41.603,-84.13799999999999,41.61,-84.14,2017,41.603:-84.138,-84.138:41.610,11541
38.809,-82.339,38.81,-82.34,2017,38.809:-82.339,-82.339:38.810,14606
41.531000000000006,-81.197,41.53,-81.18,2017,41.531:-81.197,-81.197:41.530,12361
39.7,-83.881,39.69,-83.9,2017,39.700:-83.881,-83.881:39.690,11542
40.031,-81.477,40.05,-81.46,2017,40.031:-81.477,-81.477:40.050,14607
39.167,-84.538,39.17,-84.54,2017,39.167:-84.538,-84.538:39.170,11543
40.993,-83.65100000000001,41.01,-83.66,2017,40.993:-83.651,-83.651:41.010,15914
40.662,-83.648,40.65,-83.66,2017,40.662:-83.648,-83.648:40.650,11546
